T+COPN
+COPN: "310170","Cingular Wireless"
+COPN: "310190","Dutch Harbor"
+COPN: "310200","T-Mobile USA"
+COPN: "310210","T-Mobile USA"
+COPN: "310220","T-Mobile USA"
+COPN: "310230","T-Mobile USA"
+COPN: "310240","T-Mobile USA"
+COPN: "310250","T-Mobile USA"
+COPN: "310260","T-Mobile USA"
+COPN: "310270","T-Mobile USA"
+COPN: "310311","Farmers Cellular"
+COPN: "310320","Smith Bagley"
+COPN: "310340","Westlink Communications"
+COPN: "310350","Carolina Phone"
+COPN: "310380","AT&T Wireless"
+COPN: "310450","N E Colorado Cellular"
+COPN: "310460","TMP Corp"
+COPN: "310500","PSC Wireless "
+COPN: "310530","West Virginia Wireless"
+COPN: "310560","Dobson"
+COPN: "310590","Cellular One"
+COPN: "310640","Airadigm Communications"
+COPN: "310660","T-Mobile USA"
+COPN: "310690","Immix Wireless"
+COPN: "310770","IWS"
+COPN: "310790","PinPoint Wireless"
+COPN: "310880","Advantage Cellular Inc"
+COPN: "310910","FC"
+COPN: "310940","Poka Lambro Telecomm"
+COPN: "310950","Texas RSA1 Ltd"
+COPN: "31100","Mid-Tex Cellular"
+COPN: "31101","Wilkes Cellular Inc"
+COPN: "31130","Indigo Wireless"
+COPN: "31170","Easterbrooke"
+COPN: "31180","Pine Cellular"
+COPN: "311110","High Plains Wireless"
+COPN: "311140","Sprocket"
+COPN: "311160","Endless Mountains"
+COPN: "33211","Blue Sky"
+COPN: "33403","MOVISTAR GSM"
+COPN: "33420","TELCEL GSM"
+COPN: "33805","DIGICEL"
+COPN: "338180","Cable and Wireless"
+COPN: "34001","Orange"
+COPN: "34008","AMIGO GSM"
+COPN: "34020","Bouygues Telecom Caraibe"
+COPN: "342600","Cable & Wireless Barbados"
+COPN: "342750","Digicel"
+COPN: "342810","Cingular Wireless"
+COPN: "34430","APUA PCS"
+COPN: "344920","Cable & Wireless   "
+COPN: "344930","Antigua Wireless"
+COPN: "346140","Cable & Wireless Limited"
+COPN: "348570","CCT"
+COPN: "35001","Telecommunications Ltd"
+COPN: "35002","MOBILITY LTD."
+COPN: "35250","Digicel"
+COPN: "352110","Cable & Wireless Grenada"
+COPN: "352130","Trans-World Telecom"
+COPN: "356110","Cable & Wireless St Kitts"
+COPN: "35830","Cingular Wireless"
+COPN: "35850","Digicel (St Lucia)"
+COPN: "358110","Cable & Wireless "
+COPN: "36010","Cingular Wireless"
+COPN: "36070","Digicel"
+COPN: "360110","Cable&Wireless Caribbean"
+COPN: "36251","Telcell N.V."
+COPN: "36269","CT GSM"
+COPN: "36291","UTS Wireless Curacao"
+COPN: "36301","SETARGSM"
+COPN: "36439","The Bahamas Telecomm"
+COPN: "365840","Cable & Wireless WI"
+COPN: "366110","Cable & Wireless Dominica"
+COPN: "36801","C_COM"
+COPN: "37001","ORANGE"
+COPN: "37412","TSTT"
+COPN: "376350","Cable & Wireless WI"
+COPN: "40001","AZERCELL GSM"
+COPN: "40002","BAKCELL GSM 2000"
+COPN: "40101","K-MOBILE"
+COPN: "40102","KCELL"
+COPN: "40211","B-Mobile"
+COPN: "40401","Hutch-Harvan"
+COPN: "40402","AirTel"
+COPN: "40403","AirTel"
+COPN: "40404","IDEA CELLULAR Ltd"
+COPN: "40405","HUTCH-Gujarat"
+COPN: "40407","IDEA Cellular Limited"
+COPN: "40410","AirTel"
+COPN: "40411","HUTCH-Delhi"
+COPN: "40412","Idea(ESCOTEL)"
+COPN: "40413","Hutch-Andhra Pradesh"
+COPN: "40414","Spice Telecom"
+COPN: "40415","Hutch-UP East"
+COPN: "40419","Escotel Mobile Comm"
+COPN: "40420","Orange"
+COPN: "40421","BPL MOBILE"
+COPN: "40422","IDEA Cellular Limited"
+COPN: "40424","IDEA Cellular Limited"
+COPN: "40427","BPL USWEST (Maharastra)"
+COPN: "40430","HUTCH-Kolkata"
+COPN: "40431","AirTel"
+COPN: "40434","CellOne"
+COPN: "40438","Assam"
+COPN: "40440","AirTel"
+COPN: "40441","Aircel Cellular Ltd"
+COPN: "40442","AIRCEL"
+COPN: "40443","BPL USWEST (Tamil Nadu)"
+COPN: "40444","Spice Telecom"
+COPN: "40445","Airtel"
+COPN: "40446","BPL USWEST (Kerala)"
+COPN: "40449","Airtel"
+COPN: "40451","Himachal Pradesh"
+COPN: "40453","Bharat Punjab"
+COPN: "40454","Uttar Pradesh (West)"
+COPN: "40455","Uttar Pradesh (East)"
+COPN: "40456","Escotel Mobile Comm"
+COPN: "40457","Bharat Gujarat"
+COPN: "40458","Madhya Pradesh"
+COPN: "40459","Bharat Rajasthan"
+COPN: "40460","Hutch-Rajasthan"
+COPN: "40462","Jammu & Kashmir"
+COPN: "40464","Bharat Chennai"
+COPN: "40466","Maharashtra"
+COPN: "40468","Mahanagar Tele-Nigam "
+COPN: "40469","Mahanagar Tele-Nigam"
+COPN: "40470","Oasis Cellular"
+COPN: "40471","Bharat Karnataka"
+COPN: "40472","Bharat Kerala"
+COPN: "40473","Andhra Pradesh"
+COPN: "40474","West Bengal"
+COPN: "40475","Bihar"
+COPN: "40476","Bharat Orissa"
+COPN: "40477","Bharat North East"
+COPN: "40478","IDEA Cellular Limited"
+COPN: "40479","A & N"
+COPN: "40480","Tamil Nadu"
+COPN: "40481","Kolkata"
+COPN: "40484","Hutch-Chennai"
+COPN: "40486","Hutch-Kamataka"
+COPN: "40487","IDEA Cellular Limited"
+COPN: "40488","Hutch"
+COPN: "40490","AirTel"
+COPN: "40492","AirTel"
+COPN: "40493","AirTel"
+COPN: "40494","AirTel"
+COPN: "40495","AirTel"
+COPN: "40496","AirTel"
+COPN: "40497","AirTel"
+COPN: "40498","AirTel"
+COPN: "40551","AirTel"
+COPN: "40552","AirTel"
+COPN: "40553","AirTel"
+COPN: "40554","AirTel"
+COPN: "40555","AirTel"
+COPN: "40566","Hutch- UP West"
+COPN: "41003","UFONE"
+COPN: "41004","PAKTEL"
+COPN: "41201","AWCC"
+COPN: "41220","TDCA"
+COPN: "41301","Mobitel"
+COPN: "41302","DIALOG"
+COPN: "41303","CELLTEL INFINITI"
+COPN: "41308","Hutchison Lanka (Pvt)"
+COPN: "41371","Mobitel (Pvt) Limited"
+COPN: "41401","MPT GSM Network"
+COPN: "41501","MIC 1 (Alfa) "
+COPN: "41503","MTC - Lebanon"
+COPN: "41601","Fastlink"
+COPN: "41677","MOBILECOM"
+COPN: "41701","SYRIATEL"
+COPN: "41702","94 SYRIA"
+COPN: "41709","MOBILE SYRIA"
+COPN: "41800","Asia Cell Telecoms Co Ltd"
+COPN: "41802","SanaTel"
+COPN: "41805","Asia Cell Telecoms Co Ltd"
+COPN: "41808","SanaTel"
+COPN: "41820","Atheer"
+COPN: "41830","IRAQNA"
+COPN: "41902","MTCNet"
+COPN: "41903","Wataniya Telecom"
+COPN: "42001","ALJAWAL"
+COPN: "42003","Etihad Etisalat Company"
+COPN: "42101","Yemen Mobile Telephony"
+COPN: "42102","Spacetel"
+COPN: "42202","OMAN MOBILE"
+COPN: "42402","ETISALAT"
+COPN: "42501","Orange"
+COPN: "42502","Cellcom"
+COPN: "42503","Pelephone Comm Ltd"
+COPN: "42505","JAWWAL"
+COPN: "42601","BATELCO"
+COPN: "42602","MTC VODAFONE Bahrain"
+COPN: "42701","QATARNET"
+COPN: "42899","MobiCom"
+COPN: "43211","TCI"
+COPN: "43214","KIFZO"
+COPN: "43219","MTCE"
+COPN: "43402","UZMACOM"
+COPN: "43404","DAEWOO"
+COPN: "43405","COSCOM"
+COPN: "43407","Uzdunrobita GSM"
+COPN: "43601","JSC Somoncom"
+COPN: "43602","Indigo Tajikistan"
+COPN: "43603","Mobile Lines of Tajikista"
+COPN: "43604","Babilon-M"
+COPN: "43605","TajikTel"
+COPN: "43701","BITEL"
+COPN: "44010","NTT DoCoMo  Inc"
+COPN: "44020","Vodafone JP"
+COPN: "45002","KT ICOM"
+COPN: "45008","KT ICOM"
+COPN: "45201","Mobifone"
+COPN: "45202","VINAFONE"
+COPN: "45204","Viettel Mobile"
+COPN: "45400","HK CSL"
+COPN: "45402","HK CSL"
+COPN: "45403","3G"
+COPN: "45404","ORANGE"
+COPN: "45406","SMARTONE"
+COPN: "45410","New World Mobility"
+COPN: "45412","PEOPLES"
+COPN: "45415","SmarTone 3G"
+COPN: "45416","SUNDAY"
+COPN: "45418","HK CSL"
+COPN: "45500","SmarTone"
+COPN: "45501","TELEMOVEL+"
+COPN: "45503","Hutchison Telecom Macau"
+COPN: "45601","MOBITEL"
+COPN: "45602","Hello GSM"
+COPN: "45618","CAMBODIA SHINAWATRA "
+COPN: "45701","LAO TELECOMMUNICATIONS"
+COPN: "45702","ETL MOBILE"
+COPN: "45703","LAT MOBILE"
+COPN: "45708","Millicom Lao Co Ltd"
+COPN: "46000","CHINA MOBILE"
+COPN: "46001","CHN-UNICOM"
+COPN: "46002","CHINA MOBILE"
+COPN: "46006","CHN-UNICOM"
+COPN: "46007","CHINA MOBILE"
+COPN: "46601","Far EasTone"
+COPN: "46606","Tuntex 1800"
+COPN: "46668","ACeS Taiwan"
+COPN: "46688","KG Telecom"
+COPN: "46689","T3G"
+COPN: "46692","Chunghwa Telecom"
+COPN: "46693","MOBITAI"
+COPN: "46697","Pacific GSM 1800"
+COPN: "46699","TransAsia Telecom"
+COPN: "467193","Sun Net"
+COPN: "47001","GrameenPhone"
+COPN: "47002","AKTEL"
+COPN: "47003","ShebaWorld"
+COPN: "47201","DHIMOBILE"
+COPN: "50212","maxis mobile"
+COPN: "50213","TMTOUCH"
+COPN: "50216","DiGi"
+COPN: "50217","TIMECel"
+COPN: "50219","CELCOM GSM"
+COPN: "50501","Telstra MobileNet"
+COPN: "50502","YES OPTUS"
+COPN: "50503","VODAFONE"
+COPN: "50506","Hutchison 3G Australia "
+COPN: "51000","ACeS"
+COPN: "51001","INDOSAT"
+COPN: "51008","Lippo Telecom"
+COPN: "51010","TELKOMSEL"
+COPN: "51011","EXCELCOM"
+COPN: "51021","INDOSAT"
+COPN: "51501","Islacom"
+COPN: "51502","Globe Telecom"
+COPN: "51503","SMART Gold"
+COPN: "51505","Sun Cellular"
+COPN: "51511","ACeS"
+COPN: "52001","AIS GSM"
+COPN: "52015","ACT GSM 1900"
+COPN: "52018","DTAC"
+COPN: "52020","ACeS"
+COPN: "52023","GSM 1800"
+COPN: "52099","Orange"
+COPN: "52501","SingTel"
+COPN: "52502","SingTel-G18"
+COPN: "52503","MOBILEONE"
+COPN: "52505","STARHUB Pte Ltd"
+COPN: "52811","DSTCom"
+COPN: "53001","VODAFONE"
+COPN: "53701","Bee Mobile"
+COPN: "53901","U-CALL"
+COPN: "54101","SMILE"
+COPN: "54201","VODAFONE"
+COPN: "54411","Blue Sky Communications"
+COPN: "54509","Kiribati Frigate"
+COPN: "54601","MOBILIS"
+COPN: "54720","VINI"
+COPN: "54801","Telecom Cook Islands"
+COPN: "55001","FSM Telecom"
+COPN: "60201","MobiNil"
+COPN: "60202","vodafone"
+COPN: "60301","ALGERIAN MOBILE NETWORK"
+COPN: "60302","Djezzy"
+COPN: "60303","Nedjma"
+COPN: "60400","MEDI TELECOM"
+COPN: "60401","IAM"
+COPN: "60502","TUNISIE TELECOM"
+COPN: "60503","TUNSIANA"
+COPN: "60701","GAMCELL"
+COPN: "60702","AFRICELL"
+COPN: "60801","ALIZE"
+COPN: "60802","SENTEL SG"
+COPN: "60901","MATTEL"
+COPN: "61001","MALITEL"
+COPN: "61002","IKATEL"
+COPN: "61102","LAGUI"
+COPN: "61201","CORA de COMSTAR"
+COPN: "61203","Orange CI"
+COPN: "61205","TELECEL"
+COPN: "61302","Celtel Burkina Faso"
+COPN: "61402","Celtel"
+COPN: "61403","Telecel Niger"
+COPN: "61501","TOGO CELL"
+COPN: "61602","TELECEL BENIN"
+COPN: "61603","BeninCell"
+COPN: "61604","Bell Benin Communicate"
